商品編號,規    格,中分類,單位,售價
28010010,菠菜,801,斤,50
28010020,A菜,801,斤,50
28010030,青江菜,801,斤,50
28010040,小松菜,801,斤,50
28010050,阿麗白菜,801,斤,50
28010060,三鳳白菜,801,斤,50
28010070,黑葉白菜,801,斤,50
28010080,農友二號(牛奶白菜),801,斤,50
28010090,青莧菜,801,斤,50
28010100,尖葉莧菜,801,斤,50
28010110,空心菜（竹葉）,801,斤,50
280101130,芥菜,801,斤,50
28010120,茼蒿,801,斤,50
28010130,山茼蒿,801,斤,50
28010140,福山萵苣,801,斤,50
28010150,蘿美萵苣,801,斤,50
28010160,紅鳳菜,801,斤,50
28010170,皇宮菜,801,斤,50
28010180,龍鬚菜,801,斤,50
28010190,地瓜葉,801,斤,50
28010200,過貓,801,斤,50
28010210,韭菜,801,斤,50
28010220,麻薏,801,斤,50
28010230,蔥,801,斤,50
28010240,蒜,801,斤,50
28010250,芹菜,801,斤,50
28010260,九層塔,801,斤,50
28010270,香菜,801,斤,50
28010280,刺蔥,801,斤,50
28010290,高麗菜,801,斤,40
28010297,雪翠高麗菜,801,斤,50
28010310,青花椰菜,801,斤,50
28010320,白花椰菜,801,斤,50
28010330,甜菜根,801,斤,50
28010340,包心白菜,801,斤,50
28010350,包心芥菜,801,斤,50
28010360,紅橡生菜,801,斤,50
28010370,紅捲萵苣,801,斤,50
28010380,山芹菜,801,斤,50
28010390,芥藍菜,801,斤,50
28010400,油菜,801,斤,50
28010410,白菜,801,斤,50
28010420,綠火焰生菜,801,斤,50
28010430,紅火焰生菜,801,斤,50
28010440,鹿角萵苣,801,斤,50
28010443,紅鹿角萵苣,801,斤,50
28010444,綠鹿角萵苣,801,斤,50
28010450,紫甘藍,801,斤,50
28010460,蘿蔔葉,801,斤,50
28010470,山東大白菜,801,斤,50
28010480,綠橡生菜,801,斤,50
28010481,綠橡萵苣,801,斤,50
28010490,牛奶萵苣,801,斤,50
28010500,紅珊瑚生菜,801,斤,50
28010510,紅莧菜,801,斤,50
28010520,紫衣白菜,801,斤,50
28010530,牛奶白菜,801,斤,50
28010540,羽衣甘藍,801,斤,50
28010550,芝麻葉,801,斤,50
28010570,波斯頓萵苣,801,斤,50
28010580,爽綠早生京水菜,801,斤,50
28010590,茴香,801,斤,50
28010600,天美白菜,801,斤,50
28010610,蚵白菜,801,斤,50
28010620,烤肉A菜,801,斤,50
28010630,皺葉A菜,801,斤,50
28010640,冰花,801,斤,180
28010650,綠捲生菜,801,斤,50
28010660,菊苣生菜,801,斤,50
28010670,青花筍,801,斤,50
28010680,日本茼萵,801,斤,50
28010690,狗母菜,801,斤,50
28010700,豆苗菜,801,斤,50
28010710,水芹菜,801,斤,50
28010720,芥藍花菜,801,斤,50
28010730,野莧菜,801,斤,50
28010740,孢子甘藍,801,斤,50
28010750,黑葉芥藍,801,斤,50
28010760,水蕹菜,801,斤,50
28010780,甜蘿蔓萵苣,801,斤,50
28010790,紫葉萵苣,801,斤,50
28010800,綠葉萵苣,801,斤,50
28010810,結球萵苣,801,斤,50
28010820,塔菇菜,801,斤,50
28010830,明日葉,801,斤,50
28010840,日本香菜(刺芫荽),801,斤,50
28010850,甜羅勒,801,斤,50
28010860,明泉萵苣,801,斤,50
28010870,空心菜(白骨),801,斤,50
28010880,紅翠萵苣,801,斤,50
28010890,翠花萵苣,801,斤,50
28010900,綠海萵苣,801,斤,50
28010920,冠軍蘿蔓,801,斤,50
28010930,翠妹萵苣,801,斤,50
28010940,西洋芹,801,斤,50
28011000,高麗菜苗,801,斤,0
28011001,金錢薄荷,801,斤,50
28011002,假洛神葉,801,斤,50
28011003,甜劍菜,801,斤,50
28011004,日本茼蒿,801,斤,50
28011005,紫蘇葉,801,斤,50
28011006,薄荷葉,801,斤,50
28011007,紅葉洛神,801,斤,50
28020010,樹葡萄,802,斤,50
28020012,樹葡萄(冷凍),802,斤,0
28020020,玉女小番茄,802,斤,50
28020030,黑柿番茄,802,斤,50
28020040,火龍果(白),802,斤,50
28020050,火龍果(紅),802,斤,50
28020060,草莓,802,斤,120
28020061,甘王草莓,802,斤,0
28020062,白草莓,802,斤,0
28020063,枥木天空草莓,802,斤,0
28020066,香水草莓,802,斤,300
28020067,香水草莓-次級,802,斤,100
28020069,白草莓草莓,802,斤,300
28020070,無花果,802,斤,120
28020080,桑葚,802,斤,50
28020090,黃金果,802,斤,60
28020094,黃金果-1斤,802,斤,70
28020100,百香果,802,斤,70
28020110,香蕉,802,斤,50
28020120,美人蕉,802,斤,50
28020130,檸檬,802,斤,50
28020140,香水檸檬,802,斤,50
28020150,愛玉,802,斤,50
28020160,奇異果,802,斤,70
28020170,咖啡,802,斤,600
28020180,葡萄,802,斤,70
28020190,橄欖,802,斤,70
28020200,洋香瓜,802,斤,70
28020220,蓮霧,802,斤,70
28020230,酪梨,802,斤,50
28020240,芭樂（白）,802,斤,50
28020250,橙蜜香-黃小番茄,802,斤,50
28020270,芭樂（紅）,802,斤,50
28020280,大西瓜（紅）,802,斤,50
28020290,長楕圓西瓜（紅）,802,斤,50
28020300,洛神花（含籽）,802,斤,30
28020301,洛神花（去籽）,802,斤,0
28020310,木鱉果,802,斤,100
28020320,紅桃木瓜,802,斤,50
28020321,青木瓜,802,斤,0
28020330,津香木瓜,802,斤,0
28020340,細葉蕃石榴,802,斤,50
28020350,草莓蕃石榴,802,斤,50
28020360,燈籠果,802,斤,0
28020370,櫻桃,802,斤,0
28020380,嬌女小番女,802,斤,50
28020390,阿娜娜-俗稱為刺果番荔枝,802,斤,0
28020400,砂糖橘子,802,斤,0
28020410,聖女小番茄,802,斤,50
28020420,紅妃木瓜,802,斤,50
28020430,紅冠木瓜,802,斤,50
28020440,紅壽木瓜,802,斤,50
28020450,翠紅小番茄,802,斤,0
28020455,白柚,802,斤,0
28020456,檸檬百里香,802,斤,50
28020457,佐香草莓,802,斤,300
28020458,美姬草莓,802,斤,300
28030010,白蘿蔔,803,斤,30
28030020,紅蘿蔔,803,斤,30
28030030,水果玉米,803,斤,40
28030040,玉米筍,803,斤,70
28030044,玉米筍(裸),803,斤,180
28030050,彩椒(紅),803,斤,50
28030060,彩椒(黃),803,斤,50
28030070,青椒,803,斤,50
28030080,秋葵,803,斤,50
28030090,小黃瓜,803,斤,40
28030100,大黃瓜,803,斤,50
28030110,茄子,803,斤,40
28030120,瓠瓜,803,斤,30
28030130,絲瓜,803,斤,30
28030140,苦瓜,803,斤,30
28030150,大冬瓜,803,斤,30
28030160,芋頭冬瓜,803,斤,30
28030170,佛手瓜,803,斤,30
28030180,甜豆,803,斤,50
28030190,醜豆,803,斤,50
28030200,四季豆,803,斤,50
28030210,長豆,803,斤,50
28030220,皇帝豆,803,斤,0
28030230,荷蘭豆,803,斤,50
28030240,糯米椒,803,斤,50
28030250,紅辣椒,803,斤,100
28030260,青辣椒,803,斤,0
28030270,朝天椒,803,斤,0
28030280,葫蘆型南瓜,803,斤,30
28030290,栗子南瓜,803,斤,50
28030300,栗子地瓜,803,斤,30
28030310,狗尾草,803,斤,0
28030320,薑,803,斤,50
28030330,薑黃,803,斤,0
28030340,冬筍,803,斤,0
28030350,牛番茄,803,斤,50
28030360,山苦瓜,803,斤,30
28030370,火龍果花,803,斤,30
28030380,玉米,803,斤,40
28030390,櫻桃蘿蔔,803,斤,30
28030391,櫻桃蘿蔔葉,803,斤,0
28030400,毛豆,803,斤,240
28030401,毛豆(裸),803,斤,240
28030410,黃櫛瓜,803,斤,50
28030420,綠櫛瓜,803,斤,50
28030430,李白南瓜,803,斤,30
28030440,筍子,803,斤,0
28030450,圓茄,803,斤,50
28030460,芋頭,803,斤,50
28030470,馬鈴薯,803,斤,0
28030480,東昇南瓜,803,斤,0
28030490,嫩薑,803,斤,0
28030500,小薑,803,斤,0
28030510,紅豆,803,斤,0
28030520,綠豆,803,斤,0
28030530,黃豆,803,斤,0
28030540,釋迦花椰,803,斤,0
28030550,糯米玉米,803,斤,40
28030560,金針(台東6號),803,斤,0
28030570,蘆筍,803,斤,0
28030580,洋蔥,803,斤,50
28030583,洋蔥葉,803,斤,40
28030590,豌豆,803,斤,0
28030600,蒜頭,803,斤,0
28030610,阿嬌南瓜,803,斤,0
28030620,三姑南瓜,803,斤,0
28030630,阿芳南瓜,803,斤,0
28030640,龍竹筍,803,斤,0
28030650,麻竹筍,803,斤,0
28030660,澱粉玉米,803,斤,0
28030670,雞心辣椒,803,斤,100
28030680,甜菜根,803,斤,0
28030690,紫洋蔥,803,斤,50
28030700,花生-9號,803,斤,90
28030710,木瓜型南瓜,803,斤,30
28030720,紫玉甜糯玉米,803,斤,40
28030730,辣王魔鬼椒,803,斤,100
28030740,豆薯,803,斤,50
28030750,水滴茄,803,斤,50
28030760,皺皮辣椒,803,斤,100
28030770,稜角絲瓜,803,斤,30
28030780,肉豆,803,斤,70
28030790,樹豆,803,斤,200
28030800,綠竹筍,803,斤,0
28030810, 結頭菜,803,斤,40
28030820,日本皇帝豆,803,斤,0
28030830,水果小黃瓜,803,斤,40
28030840,白球南瓜,803,斤,30
28030850,綠球南瓜,803,斤,30
28030860,小紅南瓜,803,斤,30
28030861,奶油南瓜,803,斤,50
28030870,翼豆,803,斤,50
28030880,迷你紅蘿蔔,803,斤,0
28030890,黑美珍玉米,803,斤,40
28030900,雪珍玉米,803,斤,40
28030910,玉美珍玉米,803,斤,0
28030920,日本圓茄,803,斤,50
28030922,萵筍,803,斤,50
28030923,高麗菜筍,803,斤,50
28040040,黃金雞,804,斤,160
28040041,黃金雞真縮,804,斤,110
28040042,黃金雞-B,804,斤,100
28040050,櫻桃鴨,804,斤,170
28040060,白羅曼鵝,804,斤,200
28040062,鵝胗,804,斤,0
28040070,土鵝,804,斤,0
28040090,土番鴨,804,斤,170
28040100,伊莎蛋雞,804,斤,0
28041032,三節翅-3kg/包,804,斤,140
28041042,清胸-3kg/包,804,斤,180
28041044,雞清胸-（皮）-3kg/包,804,斤,100
28041046,雞清胸絞肉,804,斤,0
28041060,雞佛,804,斤,300
28041070,雞心,804,斤,100
28041080,雞肫,804,斤,120
28041090,雞頭脖,804,斤,70
28041091,雞頭脖去皮-3kg/包,804,斤,45
28041092,雞脖皮-3kg/包,804,斤,0
28041100,雞骨 (架）,804,斤,70
28041111,帶骨腿肉-3kg/包,804,斤,210
28041120,雞尾椎,804,斤,100
28041130,雞腳,804,斤,100
28041140,鴨胗,804,斤,0
28041150,圓胸-5顆/包,804,斤,150
28041160,清胸肉(帶皮)-3kg/包,804,斤,210
28041170,里肌-3kg/包,804,斤,180
28041180,骨腿-3kg/包,804,斤,210
28041190,腿肉(帶皮去骨)-3kg/包,804,斤,300
28041191,腿肉(帶皮帶踝-去骨)-3kg/包,804,斤,300
28041200,二節翅-3kg/包,804,斤,140
